@relation Training

@attribute Label {Malware,Goodware}
@attribute Protocol numeric
@attribute 'Address A' numeric
@attribute 'Port A' numeric
@attribute 'Address B' numeric
@attribute 'Port B' numeric
@attribute 'Packets A - B' numeric
@attribute 'Bytes A - B' numeric
@attribute 'Packets B - A' numeric
@attribute 'Bytes B - A' numeric

@data
Malware,17,1534712125,6892,167772687,1044,0,0,1,67
Malware,17,1534712126,6892,167772687,1044,0,0,1,67
Malware,17,1534712127,6892,167772687,1044,0,0,1,67
Malware,17,1534712128,6892,167772687,1044,0,0,1,67
Malware,17,1534712129,6892,167772687,1044,0,0,1,67
Malware,17,1534712130,6892,167772687,1044,0,0,1,67
Malware,17,1534712131,6892,167772687,1044,0,0,1,67
Malware,17,1534712132,6892,167772687,1044,0,0,1,67
Malware,17,1534712133,6892,167772687,1044,0,0,1,67
Malware,17,1534712134,6892,167772687,1044,0,0,1,67
Malware,17,1534712135,6892,167772687,1044,0,0,1,67
Malware,17,1534712136,6892,167772687,1044,0,0,1,67
Malware,17,1534712137,6892,167772687,1044,0,0,1,67
Malware,17,1534712138,6892,167772687,1044,0,0,1,67
Malware,17,1534712139,6892,167772687,1044,0,0,1,67
Malware,17,1534712140,6892,167772687,1044,0,0,1,67
Malware,17,1534712141,6892,167772687,1044,0,0,1,67
Malware,17,1534712142,6892,167772687,1044,0,0,1,67
Malware,17,1534712143,6892,167772687,1044,0,0,1,67
Malware,17,1534712144,6892,167772687,1044,0,0,1,67
Malware,17,1534712145,6892,167772687,1044,0,0,1,67
Malware,17,1534712146,6892,167772687,1044,0,0,1,67
Malware,17,1534712147,6892,167772687,1044,0,0,1,67
Malware,17,1534712148,6892,167772687,1044,0,0,1,67
Malware,17,1534712149,6892,167772687,1044,0,0,1,67
Malware,17,1534712150,6892,167772687,1044,0,0,1,67
Malware,17,1534712151,6892,167772687,1044,0,0,1,67
Malware,17,1534712152,6892,167772687,1044,0,0,1,67
Malware,17,1534712153,6892,167772687,1044,0,0,1,67
Malware,17,1534712154,6892,167772687,1044,0,0,1,67
Malware,17,1534712155,6892,167772687,1044,0,0,1,67
Malware,17,1534712156,6892,167772687,1044,0,0,1,67
Malware,17,1534712157,6892,167772687,1044,0,0,1,67
Malware,17,1534712158,6892,167772687,1044,0,0,1,67
Malware,17,1534712159,6892,167772687,1044,0,0,1,67
Malware,17,1534712160,6892,167772687,1044,0,0,1,67
Malware,17,1534712161,6892,167772687,1044,0,0,1,67
Malware,17,1534712162,6892,167772687,1044,0,0,1,67
Malware,17,1534712163,6892,167772687,1044,0,0,1,67
Malware,17,1534712164,6892,167772687,1044,0,0,1,67
Malware,17,1534712165,6892,167772687,1044,0,0,1,67
Malware,17,1534712166,6892,167772687,1044,0,0,1,67
Malware,17,1534712167,6892,167772687,1044,0,0,1,67
Malware,17,1534712168,6892,167772687,1044,0,0,1,67
Malware,17,1534712169,6892,167772687,1044,0,0,1,67
Malware,17,1534712170,6892,167772687,1044,0,0,1,67
Malware,17,1534712171,6892,167772687,1044,0,0,1,67
Malware,17,1534712172,6892,167772687,1044,0,0,1,67
Malware,17,1534712173,6892,167772687,1044,0,0,1,67
Malware,17,1534712174,6892,167772687,1044,0,0,1,67
Malware,17,1534712175,6892,167772687,1044,0,0,1,67
Malware,17,1534712176,6892,167772687,1044,0,0,1,67
Malware,17,1534712177,6892,167772687,1044,0,0,1,67
Malware,17,1534712178,6892,167772687,1044,0,0,1,67
Malware,17,1534712179,6892,167772687,1044,0,0,1,67
Malware,17,1534712180,6892,167772687,1044,0,0,1,67
Malware,17,1534712181,6892,167772687,1044,0,0,1,67
Malware,17,1534712182,6892,167772687,1044,0,0,1,67
Malware,17,1534712183,6892,167772687,1044,0,0,1,67
Malware,17,1534712184,6892,167772687,1044,0,0,1,67
Malware,17,1534712185,6892,167772687,1044,0,0,1,67
